"id","followers","genres","name","popularity"
"5zDYS1hcOlNxMsIxw4BVNE",2163.00,"['polish hip hop']","Wojtas",24
"5zGmfucY4y53SMOp3lAzW9",185683.00,"['polish hip hop', 'polish trap', 'smutny rap']","Beka KSH",49
"5zGorIs2xOJhH595MqrG6X",76.00,"['polish death metal']","Mortis Dei",0
"5zQXkYpzC5wbudHy65QAWD",587.00,"['polish trap']","Deathfromoverdose",15
"5zh5P52zjFXaJM5YxVTn0B",11333.00,"['classic polish pop', 'poezja spiewana', 'sung poetry']","Magda Umer",52
"5ziyrd2pOlvkZkIxcVaqDo",608.00,"['polish electronica']","Lasy",9
"5zpkGjWVp2kIboR3IQsUcf",2225.00,"['polish jazz']","Laboratorium",15
"5zqErGXNDNjMeI8wa31Vjl",371.00,"['polish hip hop']","K.A.S.T.A.",4
"60OrXSXmz0grUK0KrD2O6i",11877.00,"['polish alternative rap']","Pikers",43
"60ZkOuPIZ1BX6oaZBRf83b",68.00,"['polish electronica']","Palcolor",0
"60afMnL1mSfYcDUL39pAvf",74547.00,"['polish alternative', 'polish pop']","Domowe Melodie",41
"60kPK9RqCOcrN7mvt1iR6G",462.00,"['polish death metal']","Redemptor",3
"60swv3FcBEu80JDSGLRExA",659.00,"['polish black metal']","MORD",1
"61BwWvHoYb9rXLFD9EHxDI",33.00,"['polish free jazz']","Infant Joy Quintet",0
"61ifulWrE8gurR1dVA7EOk",4954.00,"['polish punk']","Hańba!",24
"61l5ozC4iZn6udRaKEXcqC",45.00,"['polish classical piano']","Elzbieta Sternlicht",8
"61lyAOfB0eURozAtPWNgGL",179.00,"['disco polo']","Nazir",0
"61mjebytLODtxAOS9ULCmb",182.00,"['polish alternative']","Jann",25
"61rbXbxTIXgwRSRJeVDs5Q",1137.00,"['classic polish pop']","Anna Serafinska",11
"61wWN6YI3xyRt8muES73bt",568.00,"['polish folk metal']","Dziewanna",18
"61ylhzaNuiq9bpvUuHeMMx",14409.00,"['polish hip hop']","zibex",45
"62ThdBJ2pzQceim0nQLvUl",464.00,"['polish post-punk']","Madame",10
"62XGlCPVw4mRaVGtwzpe1z",5067.00,"['polish death metal']","Lost Soul",14
"62gl5Wd46x03DsS0XJhU4Y",1518.00,"['polish experimental', 'polish psychedelia']","Alameda 5",8
"62h29KqxvzOrYVw6tJ8Vry",285.00,"['dark ambient', 'polish ambient']","Occurrences In Rain",3
"6369Un7cEphvz3ZZ5SXIoe",3491.00,"['polish punk']","Zacier",21
"63T5JMeXfAbq86Iz1KDFrq",17985.00,"['polish alternative rap']","Emes Milligan",38
"63sGyND9tpupcDkn8gSJUJ",2239.00,"['polish blues']","Natalia Sikora",17
"646poNFIyywmV81TATywD4",447.00,"['classic polish pop', 'poezja spiewana', 'sung poetry']","Łucja Prus",26
"64GpujJ8WiZSr8MX1h6nkT",329.00,"['polish rock']","Krambabula",6
"64P1kQ4dudnIqtxk5JzE6W",305.00,"['polish jazz']","NRD",6
"64YrwylWk0sI2KnYP6n0BW",127.00,"['polish ambient']","Tomasz Pauszek",4
"64javKUlz2LAoOMtQfUFj9",7667.00,"['polish indie']","Novika",32
"64yxiVUTd5wxmQ1XHhsYkE",11461.00,"['classic polish pop']","Seweryn Krajewski",27
"654gFOI4nB9uM7qjYaWBJk",932.00,"['industrial techno', 'polish techno']","Michal Jablonski",8
"65FjGPOwkkMjr9c15hm8Gf",4260.00,"['classic polish pop']","Bogusław Mec",24
"65FvwUJyRc6ykAq09u1Z0P",1269.00,"['polish folk']","Janusz Prusinowski Trio",12
"65RQbLHJIWPfWwxYJ5a5BZ",14007.00,"['polish alternative', 'polish electronica', 'polish pop']","Rosalie.",52
"65WFsTQhFYVqbovrVZAOd7",17731.00,"['ecm-style jazz', 'jazz trumpet', 'polish jazz']","Tomasz Stańko",25
"65bO3tuyLbFzSG8mcfyAXs",2735.00,"['classic polish pop']","Kalina Jedrusik",26
"65bwjweUANtVt2zv7mLC5M",23.00,"['polish choir']","Krakow Philharmonic Chorus",15
"66Q8QR3EYpqlsZV2pe2sSR",4276.00,"['polish black metal']","Odraza",26
"66XpA1oaejl7wkkhTJ1GbP",873.00,"['polish alternative']","thekayetan",24
"66eo4hzijwSx5tsWFObVxW",35.00,"['polish choir']","Warsaw Boys Choir",19
"66i2eh5j3xoAWl7gfKD9G6",7160.00,"['disco polo']","Fanatic",30
"66tKRmy3IXz9wFXkF6xBn5",2066.00,"['polish hip hop']","Lona",32
"67Tu4sTHd7vWP5BNxkcpHS",241.00,"['disco polo']","Tropic",1
"67VEzwumgkQEwECVV0CJId",91.00,"['polish psychedelia', 'poznan indie']","Fickle Vibe",0
"67VM1TW9hWE9hlVYcmioaH",95453.00,"['polish pop']","C-BooL",51
"67YLlenS7yDnUG92iGcwOO",268.00,"['polish indie']","Paristetris",1
"67ZWso7rbXDvbfbzQjXs1L",4557.00,"['polish hip hop']","PTP",21
"67shuItMwUHwIubtIR83WE",716.00,"['polish hardcore', 'polish punk']","Uliczny Opryszek",20
"67vVapxz1ZSlaDe92FFjnk",18.00,"['polish contemporary classical']","Andrzej Koszewski",1
